descriptor-H_s	descriptor-O_s	C3H6O_g	C3H6_g	H2O_g	H2_g
-1.7272727272727275	-4.090909090909091	0.0	1.1587986868018257e-26	1.159026968005281e-26	6.798974140600807e-28
-1.7272727272727275	-4.545454545454546	8.836256323915888e-37	7.838094800251797e-29	7.836753149524744e-29	0.0
-1.7272727272727275	-5.0	8.176738148841824e-28	1.6191940971558946e-26	1.619349041755804e-26	4.4811093155715894e-30
-2.1818181818181817	0.0	0.0	7.473894733280555e-37	1.1685108277095059e-27	7.886334431453257e-33
-2.1818181818181817	-0.45454545454545503	0.0	3.5211805647191376e-33	3.521180564719273e-33	0.0
-2.1818181818181817	-0.9090909090909092	0.0	1.8932727379333318e-29	1.8932727379333334e-29	0.0
-2.1818181818181817	-1.3636363636363638	0.0	7.650364679169633e-29	7.650364679169633e-29	0.0
-2.1818181818181817	-1.8181818181818183	0.0	7.757769963408027e-31	7.757769963408028e-31	0.0
-2.1818181818181817	-2.272727272727273	4.125000344705702e-26	2.151173417946548e-29	0.0	0.0
-2.1818181818181817	-2.7272727272727275	0.0	3.4749062078941454e-34	1.8697137113640606e-31	1.8658810016772284e-30
-2.1818181818181817	-3.1818181818181817	0.0	1.0987460515611903e-37	1.1583007280542321e-34	1.1570839376274683e-33
-2.1818181818181817	-3.6363636363636367	0.0	2.542147551816604e-29	2.541951690297555e-29	0.0
-2.1818181818181817	-4.090909090909091	1.431988211119279e-29	7.423236434782719e-29	7.423236434782719e-29	0.0
-2.1818181818181817	-4.545454545454546	0.0	4.481869323214474e-29	4.477101502277804e-29	0.0
-2.1818181818181817	-5.0	3.505939428140561e-27	5.4357057829032546e-27	5.4349830538825735e-27	0.0
-2.6363636363636367	0.0	0.0	4.8751206762029984e-43	4.4024628787027e-31	1.6994105071190949e-34
-2.6363636363636367	-0.45454545454545503	0.0	4.0870274457727865e-40	3.443929043524354e-29	3.6744208344255605e-30
-2.6363636363636367	-0.9090909090909092	0.0	5.027773796525299e-37	2.239633966666375e-27	2.239634578891696e-26
-2.6363636363636367	-1.3636363636363638	0.0	2.4700482985757993e-32	2.4700482985758004e-32	0.0
-2.6363636363636367	-1.8181818181818183	0.0	1.1623058440324382e-31	1.309520160561522e-27	1.3093941074730295e-26
-2.6363636363636367	-2.272727272727273	0.0	4.86306570556672e-34	2.9540037237819235e-30	2.953353236779341e-29
-2.6363636363636367	-2.7272727272727275	0.0	1.1988524090303273e-33	1.6292969630283387e-31	1.615575043722354e-30
-2.6363636363636367	-3.1818181818181817	0.0	5.027164961119178e-37	1.161319627991192e-34	1.152567010223571e-33
