descriptor-H_s	descriptor-CH3CH2CH_s	C3H6_g	C3H8_g	C6H14_g
-0.9090909090909092	-2.272727272727273	2.6983911092090286e-33	2.6983911164470902e-33	0.0
-0.9090909090909092	-1.9090909090909092	3.280979114009831e-30	3.2809791142362046e-30	0.0
-0.9090909090909092	-1.5454545454545454	4.950784137006752e-25	4.950784137007622e-25	0.0
-0.9090909090909092	-1.1818181818181817	1.4213634047445114e-23	1.4213634047445875e-23	0.0
-0.9090909090909092	-0.8181818181818183	7.120474310006099e-23	7.120474310006172e-23	0.0
-0.9090909090909092	-0.4545454545454546	5.718954193412591e-21	5.718954193412592e-21	0.0
-0.9090909090909092	-0.09090909090909083	7.018040880006121e-19	7.018040880006121e-19	0.0
-0.9090909090909092	0.2727272727272727	3.377302700800396e-17	3.377302700800396e-17	0.0
-0.9090909090909092	0.6363636363636364	1.5869349268264606e-16	1.5869349268264606e-16	0.0
-0.9090909090909092	1.0	2.3710666320096403e-16	2.3710666320096403e-16	0.0
-1.4545454545454546	-3.0	4.316225772164329e-41	4.3164000470181063e-41	0.0
-1.4545454545454546	-2.6363636363636367	1.7994251333407469e-37	1.7994261425481765e-37	0.0
-1.4545454545454546	-2.272727272727273	3.357889261798566e-32	3.3578892658280816e-32	0.0
-1.4545454545454546	-1.9090909090909092	6.952475620112335e-30	6.952475621042373e-30	0.0
-1.4545454545454546	-1.5454545454545454	2.761296441341928e-29	2.7612964415868056e-29	0.0
-1.4545454545454546	-1.1818181818181817	1.9627581785808556e-27	1.9627581786012478e-27	0.0
-1.4545454545454546	-0.8181818181818183	2.2181355860475587e-25	2.218135586049509e-25	0.0
-1.4545454545454546	-0.4545454545454546	7.246215483919372e-24	7.246215483919748e-24	0.0
-1.4545454545454546	-0.09090909090909083	2.37225521971631e-23	2.372255219716326e-23	0.0
-1.4545454545454546	0.2727272727272727	3.3231469345449325e-23	3.3231469345449366e-23	0.0
-1.4545454545454546	0.6363636363636364	4.178779276147716e-23	4.1787792761477174e-23	0.0
-1.4545454545454546	1.0	5.20107458641658e-23	5.201074586416581e-23	0.0
-2.0	-3.0	5.625545281940981e-40	5.625642017465379e-40	0.0
-2.0	-2.6363636363636367	3.437802579606535e-35	3.4378030744223565e-35	0.0
-2.0	-2.272727272727273	1.0024575578694886e-35	1.0024578242268324e-35	0.0
-2.0	-1.9090909090909092	6.705714124026197e-34	6.705714350465189e-34	0.0
-2.0	-1.5454545454545454	6.72628056438592e-32	6.726280584830966e-32	0.0
-2.0	-1.1818181818181817	1.4072678465491182e-30	1.4072678473879342e-30	0.0
-2.0	-0.8181818181818183	3.456408110525628e-30	3.4564081117046364e-30	0.0
-2.0	-0.4545454545454546	4.6407637373759074e-30	4.640763738601152e-30	0.0
-2.0	-0.09090909090909083	5.811404018345043e-30	5.811404018847987e-30	0.0
-2.0	0.2727272727272727	7.23028656027541e-30	7.230286560407566e-30	0.0
-2.0	0.6363636363636364	8.988857025252424e-30	8.988857025287137e-30	0.0
-2.0	1.0	1.1175999014238555e-29	1.117599901424767e-29	0.0
